Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	Clustering
KEGG_PATHWAY	Pathways in cancer	106	4.42958629335562	4.6701336936379995E-9	RB1, EPO, FGF1, ETS1, ELK1, CRKL, CCND3, RASSF1, RPS6KA5, CCND1, AKT2, AKT3, EP300, SKP2, IL13RA1, MAP2K1, RALBP1, DAPK2, HGF, F2R, MITF, MSH6, AR, MSH2, CCNE2, MSH3, CCNE1, IL6ST, NOTCH3, MAX, CUL2, RASGRP1, FOXO1, TPR, FADD, STAT5B, CREBBP, SMAD4, FZD2, FZD5, JUP, PTCH1, ZBTB16, FZD6, NFKB1, GADD45G, BMP2, MDM2, IL7R, BCL2L1, NFE2L2, CDKN1B, HSP90AB1, SLC2A1, GLI1, CASP9, CASP8, SUFU, ITGAV, POLK, JAK1, NCOA1, EDN1, APAF1, IFNGR1, NCOA4, AXIN1, FOS, TGFBR2, PLCB4, TRAF4, PIK3CA, TRAF6, KIT, RARA, PLCB1, PLCB2, SOS2, PPARD, CEBPA, RALA, HDAC1, ROCK2, PTGER2, LAMA4, CXCR4, CBL, ADCY7, EGFR, RELA, LRP6, GNA13, MAPK9, MAPK8, RXRA, HES1, STAT6, RUNX1T1, CDKN2B, TXNRD3, MLH1, EPOR, APC, RPS6KB1, CCDC6, BAX	1002	543	8992	1.7518407016537827	1.5411429450384873E-6	1.5364739852069018E-6	1.130172353860396E-6	1
KEGG_PATHWAY	MAPK signaling pathway	65	2.7162557459256167	7.009333308933075E-8	ATF2, TRADD, FGF1, ELK1, DUSP16, CRKL, RPS6KA3, PPP3CB, RPS6KA5, AKT2, RPS6KA2, RPS6KA1, AKT3, MAP3K4, MAP2K3, MAP2K1, DUSP3, DUSP1, HGF, FOS, DUSP8, TNFRSF1A, TGFBR2, DUSP7, PPM1A, PPM1B, MAPKAPK3, DDIT3, TRAF6, RASA1, MAPKAPK2, RASA2, KIT, RAPGEF2, SOS2, ATF4, EPHA2, MAX, SRF, RASGRP1, EGFR, RELA, CACNA1G, STK3, RAP1B, MAPK9, MAPK8, PPP3R1, ERBB3, IRAK1, ERBB4, MKNK2, MAP2K7, MAP3K2, HSPA8, JUND, NFATC3, NFKB1, GADD45G, EFNA1, TAOK1, NF1, TEK, MAP3K13, MYD88	1002	294	8992	1.9840590926989556	2.3130533231219275E-5	1.1530353293194909E-5	8.481293303809021E-6	1
KEGG_PATHWAY	Human T-cell leukemia virus 1 infection	54	2.2565816966151275	2.233864093011478E-6	RB1, ATF2, NRP1, SLC2A1, CD3G, ELK1, ETS1, ETS2, POLB, CCND3, ZFP36, PPP3CB, CDC23, CCND1, CREB3L3, AKT2, CREB3L2, CHEK1, AKT3, EP300, B2M, JAK1, MAP2K1, TBP, FOS, TNFRSF1A, TGFBR2, PIK3CA, CCNE2, CCNE1, LCK, CANX, TBPL1, ANAPC4, MAD1L1, ATF4, ANAPC13, VAC14, SRF, ADCY7, RELA, ANAPC11, MAPK9, MAPK8, PPP3R1, STAT5B, CDKN2B, SMAD4, CREBBP, NFATC3, NFKB1, BAX, ATR, BCL2L1	1002	250	8992	1.9383952095808383	7.369043266245434E-4	1.9579493614497103E-4	1.4401937552304862E-4	1
KEGG_PATHWAY	Hepatitis B	40	1.671541997492687	2.380485545835514E-6	RB1, ATF2, DDX3X, ELK1, RELA, CASP9, MAPK9, MAPK8, CASP8, CREB3L3, IRAK1, AKT2, CREB3L2, AKT3, EP300, STAT6, FADD, MAP2K7, JAK1, MAP2K3, STAT5B, MAP2K1, SMAD4, CREBBP, APAF1, NFATC3, TYK2, FOS, NFKB1, TGFBR2, MAVS, PIK3CA, CCNE2, CCNE1, TRAF6, BAX, TLR4, SOS2, MYD88, ATF4	1002	163	8992	2.20222132422272	7.852526927288883E-4	1.9579493614497103E-4	1.4401937552304862E-4	1
KEGG_PATHWAY	FoxO signaling pathway	34	1.420810697868784	4.324782337677658E-6	PRKAA1, CDKN1B, IRS1, FBXO25, PRKAG2, FOXO3, FOXO1, EGFR, MAPK9, MAPK8, CCND1, AKT2, AKT3, S1PR1, EP300, SKP2, PLK3, MAP2K1, GABARAPL1, CDKN2B, SMAD4, CREBBP, PDPK1, FBXO32, PRKAB1, SIRT1, GADD45G, TGFBR2, G6PC3, PIK3CA, CCNG2, MDM2, IL7R, SOS2	1002	131	8992	2.3291432402370833	0.0014261633187132583	2.845706778191899E-4	2.0931946514359868E-4	1
KEGG_PATHWAY	Insulin resistance	30	1.2536564981195153	6.267381075935606E-6	PRKAA1, IRS1, SLC2A1, PRKAG2, FOXO1, RELA, GYS2, PPP1CC, MAPK9, RPS6KA3, MAPK8, CREB3L3, AKT2, RPS6KA2, CREB3L2, RPS6KA1, AKT3, PPARGC1A, PPARGC1B, PTPN1, PDPK1, PRKAB1, NFKB1, TNFRSF1A, MLXIPL, G6PC3, PIK3CA, RPS6KB1, TRIB3, PPARA	1002	110	8992	2.447468698965705	0.0020661048970757045	3.054052085999674E-4	2.2464456073310673E-4	1
KEGG_PATHWAY	Prostate cancer	28	1.170079398244881	6.551843485107208E-6	RB1, HSP90AB1, CDKN1B, TMPRSS2, PLAT, FOXO1, EGFR, RELA, CASP9, CCND1, CREB3L3, AKT2, CREB3L2, AKT3, EP300, MAP2K1, CREBBP, PDPK1, ETV5, NFKB1, AR, ZEB1, PIK3CA, CCNE2, CCNE1, MDM2, SOS2, ATF4	1002	99	8992	2.538115687816287	0.002159779745078083	3.054052085999674E-4	2.2464456073310673E-4	1
KEGG_PATHWAY	Measles	36	1.5043877977434184	7.4262664705159245E-6	CDKN1B, TRADD, CD3G, RCHY1, RELA, CASP9, MAPK9, CCND3, MAPK8, CASP8, CCND1, IRAK1, AKT2, AKT3, FADD, JAK1, STAT5B, HSPA8, APAF1, MX2, EIF2AK1, TYK2, FOS, EIF2AK4, NFKB1, MAVS, PIK3CA, CCNE2, CCNE1, TRAF6, CD28, BAX, TLR4, MYD88, BCL2L1, NFKBIB	1002	146	8992	2.2127799196128293	0.0024476765775677256	3.054052085999674E-4	2.2464456073310673E-4	2
KEGG_PATHWAY	Salmonella infection	52	2.173004596740493	1.5467243552018728E-5	HSP90AB1, TRADD, PIK3C2A, ACTB, PIK3CG, FYCO1, ACTR1B, CASP8, AKT2, AKT3, KPNA4, KPNA1, MAP2K3, VPS18, MAP2K1, RIPK2, EXOC7, FOS, TNFRSF1A, RHOB, DNM2, PIK3CA, TRAF6, EXOC5, TLR5, TLR4, EXOC2, ARF6, RALA, DCTN1, ROCK2, NOD1, KLC1, RELA, MAPK9, MAPK8, KLC3, IRAK1, NCKAP1L, FADD, MAP2K7, RILP, VPS16, DYNC1H1, NFKB1, SNX18, PTPRC, ARPC3, BAX, DYNLRB1, RAB5A, MYD88	1002	253	8992	1.8444691644379225	0.005091225400603139	5.484148389725406E-4	4.033932858095892E-4	2
KEGG_PATHWAY	Pancreatic cancer	23	0.9611366485582951	1.666914404171856E-5	RB1, SMAD4, RALA, RALBP1, MAP2K1, EGFR, NFKB1, RELA, GADD45G, TGFBR2, CASP9, MAPK9, MAPK8, PIK3CA, CCND1, RPS6KB1, AKT2, AKT3, BAX, POLK, JAK1, BCL2L1, ARHGEF6	1002	76	8992	2.715831494904927	0.005485761336394335	5.484148389725406E-4	4.033932858095892E-4	2
