Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003779~actin binding	11	9.322033898305085	5.4750459972633085E-5	CSRP3, ACTN2, MYOT, MYO18B, NRAP, XIRP2, FLNB, LCP1, CORO2B, CDK5R2, SNTA1	102	388	18371	5.106150192035577	0.014997934283479952	0.015111126952446732	0.015111126952446732
GOTERM_BP_DIRECT	GO:0050873~brown fat cell differentiation	4	3.389830508474576	0.0012400020298408963	FABP3, LAMB3, MB, SLC2A4	108	39	19672	18.681861348528017	0.6602248411378322	0.926298369216928	0.926298369216928
GOTERM_BP_DIRECT	GO:0031638~zymogen activation	4	3.389830508474576	0.0021318719659768194	MMP14, F12, HP, CTSH	108	47	19672	15.501970055161545	0.8438141206424803	0.926298369216928	0.926298369216928
GOTERM_BP_DIRECT	GO:0032869~cellular response to insulin stimulus	5	4.23728813559322	0.0034908613839466666	STAR, PRKDC, SLC2A4, OTOP1, PCK1	108	114	19672	7.988953866146848	0.9522779981289621	0.969483760051618	0.969483760051618
UP_KW_PTM	KW-0597~Phosphoprotein	70	59.32203389830508	0.003724272016297583	PIGR, LRSAM1, PRR7, ZWILCH, CRTC1, YBX2, ICAM5, SLC2A4, NRGN, CSRP3, DEPTOR, MB, CHP2, DACT3, TNKS1BP1, STK32C, SNTA1, ACTN2, ABCC6, TET2, APOA1, FAM219B, DDX51, KLHL41, MMP14, OBSCN, ADCY9, HEATR5B, GPRIN1, CDC42EP4, ORAI3, SRSF2, LCP1, SOWAHA, RPP25, HPD, CUL9, TTYH3, PRKDC, KMT2C, PRDM11, CACNA1E, CKMT2, CMYA5, NRAP, XIRP2, FLNB, PCK1, PPARGC1B, RPRM, PRRT3, IL10RB, CNTN6, KCNB1, PRRC2C, TRERF1, ARHGAP32, BHMT, FABP3, NOL4L, STAR, FAM163B, NFIC, FAM131B, UBE2O, TBKBP1, ALDH8A1, CDK5R2, ITPA, CC2D1B	94	7729	12787	1.2320137200870993	0.06495632440542443	0.07076116830965408	0.07076116830965408
GOTERM_BP_DIRECT	GO:0030036~actin cytoskeleton organization	6	5.084745762711865	0.004462525938097206	CSRP3, ACTN2, NRAP, XIRP2, FLNB, CORO2B	108	197	19672	5.547659334461364	0.9795768470702666	0.969483760051618	0.969483760051618
GOTERM_BP_DIRECT	GO:0008542~visual learning	4	3.389830508474576	0.007666669450968657	B4GALT2, HRH2, NOG, CACNA1E	108	74	19672	9.845845845845846	0.9987637865158371	1.0	1.0
GOTERM_MF_DIRECT	GO:0008289~lipid binding	7	5.932203389830509	0.00897968429997234	FABP3, OBSCN, STAR, APOH, APOA1, YBX2, CDK5R2	102	324	18371	3.8912188332122977	0.9170558281885078	1.0	1.0
GOTERM_BP_DIRECT	GO:0042593~glucose homeostasis	5	4.23728813559322	0.011624723224615595	CSRP3, KCNB1, SLC2A4, PCK1, CACNA1E	108	161	19672	5.656774787209569	0.999961802945303	1.0	1.0
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	14	11.864406779661017	0.014424536861433378	PLAG1, CRTC1, PRKDC, KMT2C, NOG, TET2, HOXC13, TRERF1, RGMA, CSRP3, NFIC, CHP2, MAML3, PPARGC1B	108	1213	19672	2.102286953070135	0.9999967625877144	1.0	1.0
